id,Age,Gender,Annual Income,Marital Status,Number of Dependents,Education Level,Occupation,Health Score,Location,Policy Type,Previous Claims,Vehicle Age,Credit Score,Insurance Duration,Policy Start Date,Customer Feedback,Smoking Status,Exercise Frequency,Property Type,Premium Amount
0,19.0,Female,10049.0,Married,1.0,Bachelor's,Self-Employed,22.59876067181393,Urban,Premium,2.0,17.0,372.0,5.0,2023-12-23 15:21:39.134960,Poor,No,Weekly,House,2869.0
1,39.0,Female,31678.0,Divorced,3.0,Master's,,15.569730989408043,Rural,Comprehensive,1.0,12.0,694.0,2.0,2023-06-12 15:21:39.111551,Average,Yes,Monthly,House,1483.0
2,23.0,Male,25602.0,Divorced,3.0,High School,Self-Employed,47.17754928786464,Suburban,Premium,1.0,14.0,,3.0,2023-09-30 15:21:39.221386,Good,Yes,Weekly,House,567.0
3,21.0,Male,141855.0,Married,2.0,Bachelor's,,10.938144158664583,Rural,Basic,1.0,0.0,367.0,1.0,2024-06-12 15:21:39.226954,Poor,Yes,Daily,Apartment,765.0
4,21.0,Male,39651.0,Single,1.0,Bachelor's,Self-Employed,20.376093627736925,Rural,Premium,0.0,8.0,598.0,4.0,2021-12-01 15:21:39.252145,Poor,Yes,Weekly,House,2022.0
5,29.0,Male,45963.0,Married,1.0,Bachelor's,,33.05319768402281,Urban,Premium,2.0,4.0,614.0,5.0,2022-05-20 15:21:39.207847,Average,No,Weekly,House,3202.0
6,41.0,Male,40336.0,Married,0.0,PhD,,,Rural,Basic,2.0,8.0,807.0,6.0,2020-02-21 15:21:39.219432,Poor,No,Weekly,House,439.0
7,48.0,Female,127237.0,Divorced,2.0,High School,Employed,5.769783092512088,Suburban,Comprehensive,1.0,11.0,398.0,5.0,2022-08-08 15:21:39.181605,Average,No,Rarely,Condo,111.0
8,21.0,Male,1733.0,Divorced,3.0,Bachelor's,,17.869550814826297,Urban,Premium,1.0,10.0,685.0,8.0,2020-12-14 15:21:39.198406,Average,No,Monthly,Condo,213.0
9,44.0,Male,52447.0,Married,2.0,Master's,Employed,20.47371785695596,Urban,Comprehensive,1.0,9.0,635.0,3.0,2020-08-02 15:21:39.144722,Poor,No,Daily,Condo,64.0
10,56.0,Female,8054.0,Married,1.0,Bachelor's,Unemployed,,Rural,Premium,1.0,8.0,431.0,8.0,2021-05-12 15:21:39.134960,Average,No,Monthly,Condo,857.0
11,23.0,Male,30983.0,Single,3.0,Master's,,5.813128940949042,Urban,Premium,,6.0,597.0,8.0,2020-03-22 15:21:39.155231,Good,No,Rarely,Condo,1447.0
12,25.0,Female,23706.0,Single,4.0,Master's,Employed,4.090538023921365,Urban,Comprehensive,2.0,19.0,,2.0,2021-10-28 15:21:39.086123,Poor,Yes,Weekly,Apartment,703.0
13,44.0,Female,70893.0,Single,0.0,Bachelor's,,55.89632239159919,Suburban,Premium,0.0,3.0,511.0,6.0,2023-01-20 15:21:39.132191,Good,Yes,Weekly,House,1847.0
14,40.0,Female,23897.0,Divorced,,High School,Self-Employed,29.08203615642357,Suburban,Basic,2.0,15.0,498.0,1.0,2021-08-14 15:21:39.233998,Good,No,Rarely,Condo,30.0
15,18.0,Male,6076.0,Married,2.0,High School,Employed,7.442964015746718,Urban,Premium,1.0,12.0,584.0,5.0,2020-10-17 15:21:39.209847,Good,Yes,Monthly,Apartment,849.0
16,59.0,Female,28266.0,Divorced,2.0,PhD,Unemployed,21.67346054211263,Urban,Basic,0.0,16.0,,3.0,2024-04-22 15:21:39.255696,Average,Yes,Weekly,Condo,183.0
17,34.0,Female,45907.0,Divorced,4.0,High School,Self-Employed,24.0596387644636,Suburban,Comprehensive,0.0,0.0,694.0,8.0,2020-12-27 15:21:39.090124,Poor,Yes,Daily,Condo,643.0
18,18.0,Male,29071.0,Married,,Bachelor's,Employed,20.8389765352726,Rural,Premium,1.0,5.0,,3.0,2021-10-13 15:21:39.094752,Poor,Yes,Rarely,Apartment,787.0
19,40.0,Female,123751.0,Single,2.0,Master's,Self-Employed,24.95531647911226,Suburban,Premium,0.0,8.0,420.0,2.0,2020-06-25 15:21:39.152732,Good,Yes,Rarely,Condo,40.0
20,39.0,Male,6837.0,Divorced,2.0,High School,Self-Employed,17.814458917250235,Urban,Premium,,7.0,595.0,2.0,2024-06-25 15:21:39.272456,Good,Yes,Daily,Apartment,1204.0
21,44.0,Female,14042.0,Divorced,2.0,Master's,,4.551825118494738,Urban,Basic,,6.0,799.0,5.0,2023-07-31 15:21:39.237118,Good,Yes,Weekly,Apartment,2670.0
22,22.0,Male,,Divorced,4.0,PhD,,25.58378995160535,Urban,Comprehensive,,5.0,773.0,5.0,2021-10-09 15:21:39.258696,Good,Yes,Monthly,House,202.0
23,34.0,Female,32762.0,Divorced,1.0,Bachelor's,,21.96760938053775,Rural,Premium,0.0,10.0,798.0,1.0,2020-01-16 15:21:39.096739,Average,Yes,Monthly,Condo,3869.0
24,46.0,Male,24708.0,Married,3.0,High School,Employed,26.3412591810326,Urban,Premium,,0.0,543.0,4.0,2021-08-30 15:21:39.134960,Average,No,Daily,House,1136.0
25,19.0,Male,72482.0,Married,2.0,Bachelor's,Unemployed,27.27941569575117,Suburban,Premium,0.0,17.0,416.0,3.0,2021-03-10 15:21:39.097737,Good,Yes,Weekly,Condo,671.0
26,49.0,Female,82584.0,Married,0.0,Bachelor's,Unemployed,23.86738827838687,Rural,Comprehensive,,10.0,425.0,9.0,2019-10-06 15:21:39.091080,Average,Yes,Weekly,Apartment,1010.0
27,42.0,Male,35123.0,Married,2.0,Bachelor's,Self-Employed,31.39190719557818,Suburban,Premium,0.0,3.0,486.0,4.0,2023-09-03 15:21:39.237118,Good,Yes,Rarely,Condo,2680.0
28,43.0,Male,1060.0,Married,,Master's,Self-Employed,41.37671628604045,Suburban,Premium,0.0,8.0,795.0,7.0,2019-09-06 15:21:39.171102,,Yes,Rarely,Condo,699.0
29,64.0,Male,131038.0,Single,,PhD,Self-Employed,20.71707646913313,Rural,Premium,,14.0,495.0,1.0,2020-08-24 15:21:39.155231,Good,Yes,Monthly,House,2360.0
30,52.0,Male,30350.0,Single,1.0,Bachelor's,Employed,21.49661354547669,Rural,Comprehensive,,18.0,449.0,1.0,2023-12-28 15:21:39.192212,Poor,No,Rarely,House,641.0
31,37.0,Male,4534.0,Divorced,,Bachelor's,,26.387480918831336,Suburban,Premium,0.0,1.0,,1.0,2022-09-21 15:21:39.102694,Poor,No,Daily,House,165.0
32,58.0,Male,1288.0,Divorced,4.0,Master's,Self-Employed,15.171628553438794,Urban,Basic,1.0,2.0,803.0,2.0,2023-07-25 15:21:39.147735,Good,No,Rarely,Apartment,3299.0
33,40.0,Female,1190.0,Single,2.0,High School,Employed,47.85157218465031,Rural,Basic,,0.0,421.0,4.0,2020-08-23 15:21:39.228521,Good,No,Weekly,Condo,1128.0
34,25.0,Female,40887.0,Single,3.0,Bachelor's,,17.283651290198883,Suburban,Premium,,5.0,695.0,2.0,2023-04-01 15:21:39.086123,Average,Yes,Monthly,Apartment,2152.0
35,49.0,Female,12982.0,Single,4.0,PhD,,32.75161705375045,Suburban,Basic,1.0,1.0,713.0,4.0,2024-02-25 15:21:39.133866,Average,No,Rarely,Apartment,30.0
36,41.0,Female,,Married,3.0,PhD,Self-Employed,14.001630025186572,Urban,Comprehensive,0.0,15.0,589.0,6.0,2023-03-01 15:21:39.149731,Average,No,Rarely,House,250.0
37,50.0,Male,18313.0,Divorced,2.0,Master's,Employed,19.99646445133669,Suburban,Premium,0.0,5.0,,6.0,2022-03-13 15:21:39.198406,Good,Yes,Weekly,Condo,1586.0
38,50.0,Female,57423.0,Single,1.0,Bachelor's,Self-Employed,14.14668411986696,Urban,Basic,,6.0,,3.0,2024-02-04 15:21:39.132191,Average,No,Daily,Condo,3890.0
39,40.0,Female,2858.0,Divorced,0.0,High School,,38.57952270701197,Rural,Comprehensive,0.0,0.0,812.0,5.0,2021-09-18 15:21:39.176717,Poor,Yes,Daily,Condo,26.0
40,59.0,Male,1717.0,Divorced,1.0,Bachelor's,Unemployed,23.900048744874688,Urban,Basic,0.0,9.0,382.0,6.0,2021-04-22 15:21:39.226954,Good,No,Weekly,House,1813.0
41,46.0,Male,14053.0,Married,0.0,High School,Unemployed,18.56935672012438,Suburban,Comprehensive,3.0,14.0,469.0,5.0,2021-03-18 15:21:39.152732,Good,No,Daily,Condo,1211.0
42,21.0,Male,9085.0,Married,0.0,PhD,Self-Employed,25.719284477164976,Urban,Comprehensive,1.0,10.0,,8.0,2023-06-18 15:21:39.201446,Poor,Yes,Weekly,Apartment,794.0
43,35.0,Male,39717.0,Divorced,1.0,PhD,,7.263930529476291,Urban,Basic,0.0,10.0,530.0,2.0,2023-05-23 15:21:39.086123,Good,Yes,Daily,Apartment,551.0
44,19.0,Female,10481.0,Divorced,4.0,Master's,,28.78354866016648,Rural,Premium,0.0,13.0,538.0,5.0,2024-03-04 15:21:39.134960,Poor,Yes,Weekly,Condo,1525.0
45,61.0,Male,5095.0,,3.0,Master's,Employed,40.88612372940396,Suburban,Comprehensive,2.0,7.0,842.0,7.0,2020-08-04 15:21:39.269494,Poor,No,Weekly,House,23.0
46,31.0,Female,27950.0,Married,2.0,PhD,,22.93686152514115,Urban,Basic,0.0,1.0,575.0,5.0,2020-04-20 15:21:39.170099,Poor,No,Weekly,House,1069.0
47,54.0,Female,29076.0,Married,1.0,High School,Employed,36.83989236833922,Rural,Comprehensive,0.0,2.0,685.0,7.0,2023-06-21 15:21:39.272456,Average,Yes,Daily,Condo,1645.0
48,34.0,Female,12221.0,Divorced,0.0,High School,Employed,37.82939868635599,Rural,Comprehensive,1.0,1.0,794.0,1.0,2020-03-02 15:21:39.237118,Average,Yes,Weekly,House,1486.0
49,45.0,Male,11584.0,Married,4.0,Bachelor's,Self-Employed,29.18189999982652,Urban,Basic,1.0,3.0,836.0,4.0,2020-12-30 15:21:39.287115,Good,No,Daily,Apartment,1309.0
50,30.0,Female,8599.0,Single,1.0,PhD,Employed,28.744667545434645,Rural,Comprehensive,,18.0,784.0,7.0,2020-04-10 15:21:39.187211,Good,No,Rarely,House,882.0
51,59.0,Male,523.0,Divorced,1.0,PhD,,,Urban,Premium,1.0,9.0,439.0,9.0,2021-01-02 15:21:39.248098,Average,Yes,Weekly,Apartment,537.0
52,33.0,Male,54962.0,Married,0.0,Master's,Employed,20.08451192668927,Urban,Premium,,9.0,381.0,9.0,2020-01-19 15:21:39.237118,Average,No,Daily,House,1358.0
53,50.0,Female,4928.0,Divorced,1.0,PhD,Unemployed,17.8827123747686,Suburban,Comprehensive,,3.0,801.0,7.0,2020-10-19 15:21:39.280784,Good,Yes,Weekly,Apartment,2312.0
54,43.0,Female,2361.0,Single,2.0,PhD,Employed,24.39805204006732,Suburban,Comprehensive,1.0,16.0,,6.0,2019-11-28 15:21:39.206847,Average,No,Daily,Condo,2093.0
55,28.0,Male,2476.0,Married,3.0,Bachelor's,,19.81210975999022,Rural,Comprehensive,1.0,1.0,624.0,4.0,2019-11-16 15:21:39.194829,Average,No,Rarely,Apartment,1595.0
56,52.0,Female,27128.0,Married,1.0,Master's,,35.09675695651837,Rural,Premium,3.0,0.0,439.0,2.0,2023-11-11 15:21:39.191219,Poor,Yes,Weekly,House,798.0
57,58.0,Male,78986.0,Divorced,2.0,PhD,Self-Employed,22.692009207964325,Urban,Premium,,16.0,497.0,9.0,2020-11-18 15:21:39.155231,Good,No,Monthly,Apartment,78.0
58,50.0,Female,35353.0,Divorced,1.0,Bachelor's,Employed,35.619122195892686,Suburban,Premium,,5.0,359.0,3.0,2021-12-06 15:21:39.237118,Average,Yes,Rarely,House,745.0
59,62.0,Female,147020.0,Married,4.0,Bachelor's,Self-Employed,24.12174594769064,Urban,Comprehensive,,0.0,498.0,6.0,2021-05-10 15:21:39.155231,,No,Daily,Condo,1624.0
60,56.0,Female,122824.0,Divorced,3.0,Master's,,41.93816989923769,Urban,Basic,1.0,6.0,662.0,1.0,2020-02-05 15:21:39.133866,,Yes,Weekly,Apartment,2932.0
61,40.0,Female,11273.0,Divorced,3.0,High School,Employed,51.5065330307197,Rural,Comprehensive,,19.0,703.0,5.0,2021-09-19 15:21:39.236064,Average,Yes,Monthly,Condo,562.0
62,49.0,Male,15865.0,Married,,PhD,Unemployed,36.153548522853136,Urban,Comprehensive,0.0,15.0,,5.0,2024-07-15 15:21:39.172097,Good,Yes,Rarely,House,368.0
63,29.0,Female,2490.0,Married,,Master's,,50.63801697762423,Urban,Comprehensive,3.0,7.0,,2.0,2020-11-20 15:21:39.237118,Good,No,Monthly,Apartment,810.0
64,48.0,Female,94904.0,Divorced,1.0,Bachelor's,Self-Employed,45.9792179435217,Urban,Comprehensive,0.0,3.0,426.0,1.0,2024-05-30 15:21:39.187211,Average,No,Monthly,Apartment,861.0
